poster_url,title,type,genre,year,runtime,imdb_rating,status,tmdb_id
https://image.tmdb.org/t/p/w500/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,Inception,Movie,"Action, Science Fiction, Adventure",2010,148,8.8,Seen,
https://image.tmdb.org/t/p/w500/sQckQRt17VaWbo39GIu0TMOiszq.jpg,28 Days Later,Movie,"Horror, Thriller, Science Fiction",2002,113,7.5,Seen,
https://image.tmdb.org/t/p/w500/oix0aNv1lvW3nUGspUyvSIBlpbs.jpg,28 Weeks Later,Movie,"Horror, Thriller, Science Fiction",2007,100,6.9,Seen,
https://image.tmdb.org/t/p/w500/ombsmhYUqR4qqOLOxAyr5V8hbyv.jpg,Superman,Movie,"Science Fiction, Adventure, Action",2025,130,7.463,Want to See,
https://image.tmdb.org/t/p/w500/i47IUSsN126K11JUzqQIOi1Mg1M.jpg,Kraven the Hunter,Movie,"Action, Adventure, Thriller",2024,127,5.5,Seen,
https://image.tmdb.org/t/p/w500/5qGIxdEO841C0tdY8vOdLoRVrr0.jpg,Nosferatu,Movie,"Drama, Horror, Fantasy",2024,133,7.3,Seen,
https://image.tmdb.org/t/p/w500/8UdOukfuqbsCgvQGB8L2TaXeLFW.jpg,28 Years Later,Movie,"Horror, Thriller, Science Fiction",2025,115,7.1,Seen,
https://image.tmdb.org/t/p/w500/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,Avengers: Endgame,Movie,"Adventure, Science Fiction, Action",2019,181,8.4,Seen,
https://image.tmdb.org/t/p/w500/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,Avengers: Infinity War,Movie,"Adventure, Action, Science Fiction",2018,149,8.4,Seen,
https://image.tmdb.org/t/p/w500/oBgWY00bEFeZ9N25wWVyuQddbAo.jpg,Nobody,Movie,"Action, Thriller",2021,91,7.4,Seen,
https://image.tmdb.org/t/p/w500/iyxwxDZCpIm0vIORaHpmgJv2BGF.jpg,Nobody 2,Movie,"Action, Thriller",2025,89,0.0,Want to See,
https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,The Lord of the Rings: The Fellowship of the Ring,Movie,"Adventure, Fantasy, Action",2001,179,8.9,Seen,120.0
https://image.tmdb.org/t/p/w500/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,The Lord of the Rings: The Two Towers,Movie,"Adventure, Fantasy, Action",2002,179,8.8,Seen,121.0
https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,The Lord of the Rings: The Return of the King,Movie,"Adventure, Fantasy, Action",2003,201,9.0,Seen,122.0
https://image.tmdb.org/t/p/w500/wqfu3bPLJaEWJVk3QOm0rKhxf1A.jpg,The Old Guard 2,Movie,"Action, Fantasy",2025,107,6.092,Want to See,846422.0
https://image.tmdb.org/t/p/w500/cjr4NWURcVN3gW5FlHeabgBHLrY.jpg,The Old Guard,Movie,"Action, Fantasy",2020,125,6.7,Seen,547016.0
https://image.tmdb.org/t/p/w500/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg,Novocaine,Movie,"Action, Comedy, Thriller",2025,110,6.5,Want to See,1195506.0
https://image.tmdb.org/t/p/w500/fDEdtS4P0gJsxHDIt8dG8TR5dx1.jpg,Road House,Movie,"Action, Thriller",2024,121,6.2,Seen,359410.0
https://image.tmdb.org/t/p/w500/aciP8Km0waTLXEYf5ybFK5CSUxl.jpg,Joker: Folie Ã  Deux,Movie,"Drama, Crime, Thriller",2024,138,5.2,Seen,889737.0
https://image.tmdb.org/t/p/w500/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,Joker,Movie,"Crime, Thriller, Drama",2019,122,8.3,Seen,475557.0
